thinkBack: Stock quote and option quote for SPX on 7/23/16 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,,,,,,,,,,,,,,,,,,,,,,,,,
Last,Net Chng,Volume,Open,High,Low,,,,,,,,,,,,,,,,,,,,
2175.03,9.86,0,2166.47,2175.11,2163.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
22 JUL 16  (-1)  100 (Weeklys),,,,,,,,,,,,,,,,,,,,,,,,,
,,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,Bid,Ask,Exp,Strike,Bid,Ask,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,,
,,--,0.00%,1.00,0.00,-0.06,0.00,107,"7,510",40.40,48.10,22 JUL 16,2130,0,0.05,15.37%,99.53%,0.00,0.00,-0.02,0.02,974,"5,151",,
,,--,0.00%,1.00,0.00,-0.06,0.00,234,"1,891",35.40,43.10,22 JUL 16,2135,0,0.05,13.83%,99.49%,-0.01,0.00,-0.02,0.02,698,"8,118",,
,,17.08%,3.47%,0.97,0.00,-0.79,0.09,449,"5,795",32.60,38.10,22 JUL 16,2140,0,0.05,12.25%,99.44%,-0.01,0.00,-0.02,0.02,"2,427","8,684",,
,,15.54%,4.37%,0.96,0.01,-0.86,0.10,192,"2,771",27.50,33.30,22 JUL 16,2145,0,0.05,10.68%,99.36%,-0.01,0.00,-0.02,0.02,"1,835","2,545",,
,,--,0.00%,1.00,0.00,-0.06,0.00,"10,432","20,146",21.40,27.40,22 JUL 16,2150,0,0.05,9.09%,99.26%,-0.01,0.00,-0.02,0.02,"13,315","29,782",,
,,11.60%,6.36%,0.94,0.01,-0.87,0.14,407,"3,077",18.50,22.40,22 JUL 16,2155,0,0.05,7.49%,99.10%,-0.01,0.00,-0.03,0.03,"6,000","4,964",,
,,--,0.00%,1.00,0.00,-0.06,0.00,"1,687","7,026",11.50,16.40,22 JUL 16,2160,0,0.05,5.81%,98.89%,-0.01,0.00,-0.02,0.03,"7,132","11,799",,
,,--,0.00%,1.00,0.00,-0.06,0.00,"3,776","4,708",7.40,11.10,22 JUL 16,2165,0,0.05,4.10%,98.48%,-0.02,0.01,-0.02,0.05,"3,842","4,786",,
,,--,0.00%,1.00,0.00,-0.06,0.00,"5,779","8,518",3.90,5.00,22 JUL 16,2170,0,0.05,2.29%,97.47%,-0.03,0.02,-0.02,0.07,"3,640","2,600",,
,,0.00%,0.00%,1.00,0.00,-0.06,0.00,"11,651","9,439",0,0.15,22 JUL 16,2175,0.50,1.15,1.91%,51.62%,-0.48,0.18,-0.83,0.45,"1,010","3,528",,
,,2.22%,97.39%,0.03,0.02,-0.08,0.07,"11,443","10,237",0,0.05,22 JUL 16,2180,3.90,7.00,4.74%,18.13%,-0.82,0.05,-0.48,0.30,120,809,,
,,4.01%,98.49%,0.02,0.01,-0.09,0.04,"1,262","4,433",0,0.05,22 JUL 16,2185,9.50,12.10,8.90%,16.40%,-0.84,0.02,-0.83,0.28,47,170,,
